LOCATION,GENDER,TIME,MATH,SCIENCE,READING
NOR,GIRL,2003,492,483,525
NOR,GIRL,2006,487,489,508
NOR,GIRL,2009,495,502,527
NOR,GIRL,2012,488,496,528
NOR,GIRL,2015,503,497,533
NOR,GIRL,2018,505,496,523
POL,BOY,2003,493,501,477
POL,BOY,2006,500,500,487
POL,BOY,2009,497,505,476
POL,BOY,2012,520,524,497
POL,BOY,2015,510,504,491
POL,BOY,2018,516,511,495
POL,GIRL,2003,487,494,516
POL,GIRL,2006,491,496,528
POL,GIRL,2009,493,511,525
POL,GIRL,2012,516,527,539
POL,GIRL,2015,499,498,521
POL,GIRL,2018,515,511,528
PRT,BOY,2003,472,471,459
PRT,BOY,2006,474,477,455
PRT,BOY,2009,493,491,470
PRT,BOY,2012,493,488,468
PRT,BOY,2015,497,506,490
PRT,BOY,2018,497,494,480
PRT,GIRL,2003,460,465,495
PRT,GIRL,2006,459,472,488
PRT,GIRL,2009,481,495,508
PRT,GIRL,2012,481,490,508
PRT,GIRL,2015,487,496,507
PRT,GIRL,2018,488,489,504
SVK,BOY,2003,507,502,453
SVK,BOY,2006,499,491,446
SVK,BOY,2009,498,490,452
SVK,BOY,2012,486,475,444
SVK,BOY,2015,478,460,435
SVK,BOY,2018,488,461,441
SVK,GIRL,2003,489,487,486
SVK,GIRL,2006,485,485,488
SVK,GIRL,2009,495,491,503
SVK,GIRL,2012,477,467,483
SVK,GIRL,2015,472,461,471
SVK,GIRL,2018,484,467,475
ESP,BOY,2003,490,489,461
ESP,BOY,2006,484,491,443
ESP,BOY,2009,493,492,467
ESP,BOY,2012,492,500,474
ESP,BOY,2015,494,496,485
ESP,BOY,2018,485,484,480
ESP,GIRL,2003,481,485,500
ESP,GIRL,2006,476,486,479
ESP,GIRL,2009,474,485,496
ESP,GIRL,2012,476,493,503
ESP,GIRL,2015,478,489,506
ESP,GIRL,2018,478,482,480
SWE,BOY,2003,512,509,496
SWE,BOY,2006,505,504,488
SWE,BOY,2009,493,493,475
SWE,BOY,2012,477,481,458
SWE,BOY,2015,493,491,481
SWE,BOY,2018,502,496,489
SWE,GIRL,2003,506,504,533
SWE,GIRL,2006,500,503,528
SWE,GIRL,2009,495,497,521
SWE,GIRL,2012,480,489,509
SWE,GIRL,2015,495,496,520
SWE,GIRL,2018,503,503,523
CHE,BOY,2003,535,518,482
CHE,BOY,2006,536,514,484
CHE,BOY,2009,544,520,481
CHE,BOY,2012,538,518,491
CHE,BOY,2015,527,508,480
CHE,BOY,2018,519,495,469
CHE,GIRL,2003,518,508,517
CHE,GIRL,2006,523,509,515
CHE,GIRL,2009,524,512,520
CHE,GIRL,2012,524,512,527
CHE,GIRL,2015,515,502,505
CHE,GIRL,2018,512,495,500
TUR,BOY,2003,430,434,426
TUR,BOY,2006,427,418,427
TUR,BOY,2009,451,448,443
TUR,BOY,2012,452,458,453
TUR,BOY,2015,423,422,414
TUR,BOY,2018,456,465,453
TUR,GIRL,2003,415,434,459
TUR,GIRL,2006,421,430,471
TUR,GIRL,2009,440,460,486
TUR,GIRL,2012,444,469,499
TUR,GIRL,2015,418,429,442
TUR,GIRL,2018,451,472,478
GBR,BOY,2003,483,520,495
GBR,BOY,2006,504,520,480
GBR,BOY,2009,503,519,481
GBR,BOY,2012,500,521,487
GBR,BOY,2015,498,510,487
GBR,BOY,2018,508,506,494
GBR,GIRL,2003,483,517,495
GBR,GIRL,2006,487,510,510
GBR,GIRL,2009,482,509,507
GBR,GIRL,2012,488,508,512
GBR,GIRL,2015,487,509,509
GBR,GIRL,2018,496,503,514
USA,BOY,2003,486,494,479
USA,BOY,2006,479,489,495
USA,BOY,2009,497,509,488
USA,BOY,2012,484,497,482
USA,BOY,2015,474,500,487
USA,BOY,2018,482,503,494
USA,GIRL,2003,480,489,511
USA,GIRL,2006,470,489,495
USA,GIRL,2009,477,495,513
USA,GIRL,2012,479,498,513
USA,GIRL,2015,465,493,507
USA,GIRL,2018,474,502,517
OECD,BOY,2003,505.333,502,477.033
OECD,BOY,2006,499.706,499.441,470.061
OECD,BOY,2009,501.382,500.853,474.088
OECD,BOY,2012,499.421,501.863,477.832
OECD,BOY,2015,494,495,479
OECD,BOY,2018,492,488,472
OECD,GIRL,2003,494.833,497,511.667
OECD,GIRL,2006,488.588,497.118,508.576
OECD,GIRL,2009,489.794,500.824,513.235
OECD,GIRL,2012,488.551,500.406,515.427
OECD,GIRL,2015,486,491,506
OECD,GIRL,2018,487,490,502
